,4FGL,RA,Dec,N_100,Delta_N,N_300,Gamma,z,Type,HSP,Table
1,KUV 00311-1938,8.395,-19.359,3,7,1,1.751±0.018,0.61,BLL,,0
2,RX J0022.0+0006,5.515,0.113,5,9,1,1.66±0.12,0.306,BLL,,2
3,SHBL J001355.9-185406,3.48,-18.912,2,2,1,1.9±0.08,0.095,BLL,E,1
4,PKS 0048-09,12.675,-9.494,2,4,0,2.01±0.02,0.635,BLL,,2
5,PMN J0039-2220,9.778,-22.328,1,4,1,1.78±0.09,0.064,BLL,,3
6,RBS 0723,131.812,11.569,2,2,0,1.77±0.06,0.198,BLL,E,1
7,RGB J0136+391,24.142,39.1,6,7,0,1.72±0.013,0.75,BLL,,0
8,1RXS J005117.7-624154,12.824,-62.704,2,5,1,1.77±0.02,0.156,BLL,,2
9,3C 66A,35.67,43.036,15,25,0,1.976±0.008,0.34,BLL,,0
10,B3 0037+405,10.099,40.836,1,3,1,1.88±0.11,0.24,BLL,E,3
11,OJ 287,133.707,20.116,2,2,0,2.21±0.01,0.306,BLL,,1
12,1ES 0229+200,38.214,20.316,2,6,1,1.752±0.08,0.14,BLL,E,0
13,GB6 J0045+2127,11.34,21.467,2,2,0,1.82±0.03,2.07,BLL,,3
14,M 82,148.947,69.667,1,3,1,2.21±0.03,0.001,SBG,,1
15,RX J0115.7+2519,18.954,25.332,3,5,0,1.91±0.03,0.375,BLL,,2
16,1RXS J023832.6-311658,39.621,-31.283,4,6,1,1.821±0.037,0.233,BLL,,0
17,4C +21.35,186.228,21.381,1,4,0,2.33±0.01,0.432,FSRQ,,1
19,PKS 0118-272,20.123,-27.023,2,5,0,1.91±0.02,0.557,BLL,,2
20,1ES 1440+122,220.698,12.013,1,4,0,1.76±0.05,0.163,BLL,E,1
21,1RXS J012338.2-231100,20.938,-23.194,4,4,0,1.85±0.05,0.404,BLL,E,2
22,4FGL J0054.7-2455,13.694,-24.933,2,2,0,1.78±0.04,0.61,BLL,,3
23,PKS 0301-243,45.862,-24.122,8,10,0,1.912±0.013,0.26,BLL,,0
24,1ES 0120+340,20.791,34.354,2,2,0,1.69±0.08,0.272,BLL,E,3
25,IC 310,49.215,41.346,3,5,1,1.882±0.124,0.019,RDG,,0
26,PKS 0139-09,25.363,-9.483,3,3,0,2.12±0.02,0.5,BLL,,2
28,NGC 1275,49.958,41.512,11,12,1,2.123±0.005,0.017,RDG,,0
30,PMN J0209-5229,32.349,-52.48,7,12,0,1.84±0.02,0.12,BLL,,2
